trip_id,vehicle_id,start_time,end_time,start_hour,day_of_week,is_weekend,speed_mean,speed_std,idle_time_s,idle_ratio,total_km,stop_count,is_anomaly
V0_T0135,0,2024-01-22 10:52:24,2024-01-22 10:54:10,10,0,0,0.0,0.0,242.0,2.283,0.07,0,0
V0_T0136,0,2024-01-22 10:54:30,2024-01-22 10:55:36,10,0,0,0.0,0.0,82.0,1.2424,0.0,0,0
V0_T0137,0,2024-01-22 12:07:35,2024-01-22 12:17:05,12,0,0,19.76,16.1722,707.0,1.2404,3.809,1,0
V0_T0138,0,2024-01-22 12:27:39,2024-01-22 12:38:37,12,0,0,15.35,14.2304,848.0,1.2888,2.65,2,0
V0_T0139,0,2024-01-22 12:39:46,2024-01-22 12:42:54,12,0,0,0.0,0.0,255.0,1.3564,0.0,0,0
V0_T0140,0,2024-01-22 13:22:36,2024-01-22 13:43:29,13,0,0,22.86,13.8603,2497.0,1.9928,8.76,2,0
V0_T0141,0,2024-01-22 14:52:11,2024-01-22 14:52:41,14,0,0,0.0,0.0,467.0,15.5667,0.0,0,0
V0_T0142,0,2024-01-22 15:09:12,2024-01-22 15:09:37,15,0,0,0.92,1.3081,991.0,39.64,0.0,0,0
V0_T0143,0,2024-01-22 15:26:38,2024-01-22 15:27:05,15,0,0,0.62,1.0681,1022.0,37.8519,0.0,0,0
V0_T0144,0,2024-01-22 15:49:11,2024-01-22 15:51:14,15,0,0,0.46,0.925,1327.0,10.7886,0.0,1,0
V0_T0145,0,2024-01-22 15:53:29,2024-01-22 15:54:47,15,0,0,7.4,7.9572,135.0,1.7308,0.192,1,0
V0_T0146,0,2024-01-23 08:30:43,2024-01-23 08:32:10,8,1,0,12.69,8.8998,79.0,0.908,0.42,0,0
V0_T0147,0,2024-01-23 08:34:17,2024-01-23 08:43:28,8,1,0,9.71,13.3435,435.0,0.7895,1.201,1,0
V0_T0148,0,2024-01-23 09:08:30,2024-01-23 09:09:30,9,1,0,0.0,0.0,98.0,1.6333,0.051,0,0
V0_T0149,0,2024-01-23 10:44:38,2024-01-23 10:46:19,10,1,0,7.03,6.4618,1301.0,12.8812,0.209,1,0
V0_T0150,0,2024-01-23 10:55:47,2024-01-23 11:00:34,10,1,0,14.98,11.2514,165.0,0.5749,1.6,1,0
V0_T0151,0,2024-01-23 11:16:52,2024-01-23 11:28:15,11,1,0,13.48,12.7253,1266.0,1.8536,2.378,3,0
V0_T0152,0,2024-01-23 17:44:15,2024-01-23 18:05:14,17,1,0,18.78,15.6319,1526.0,1.2121,6.272,5,0
V0_T0153,0,2024-01-24 10:57:14,2024-01-24 11:12:57,10,2,0,26.04,21.8201,577.0,0.6119,7.199,3,0
V0_T0154,0,2024-01-24 11:37:14,2024-01-24 11:57:16,11,2,0,17.85,12.8324,1680.0,1.3977,6.301,4,0
V0_T0155,0,2024-01-24 14:05:38,2024-01-24 14:37:34,14,2,0,15.35,17.3434,1255.0,0.655,7.77,6,0
V0_T0156,0,2024-01-24 14:37:58,2024-01-24 14:40:55,14,2,0,1.11,1.0133,24.0,0.1356,0.099,1,0
V0_T0157,0,2024-01-24 14:46:12,2024-01-24 15:07:43,14,2,0,23.27,15.4152,439.0,0.34,9.881,3,0
V0_T0158,0,2024-01-26 08:17:40,2024-01-26 08:29:06,8,4,0,0.0,0.0,4315.0,6.2901,0.0,0,0
V0_T0159,0,2024-01-26 09:20:49,2024-01-26 09:32:17,9,4,0,10.23,14.4655,386.0,0.561,2.342,2,0
V0_T0160,0,2024-01-26 10:03:24,2024-01-26 10:05:48,10,4,0,1.85,2.1362,1867.0,12.9653,0.109,1,0
V0_T0161,0,2024-01-26 10:33:53,2024-01-26 10:48:18,10,4,0,0.12,0.4625,2485.0,2.8728,0.2,1,0
V0_T0162,0,2024-01-26 12:11:49,2024-01-26 12:28:36,12,4,0,19.35,14.8851,997.0,0.9901,5.692,4,0
V0_T0163,0,2024-01-27 08:34:26,2024-01-27 08:35:35,8,5,1,0.0,0.0,2590.0,37.5362,0.0,0,0
V0_T0164,0,2024-01-27 08:44:38,2024-01-27 08:44:39,8,5,1,0.0,0.0,543.0,543.0,0.0,0,0
V0_T0165,0,2024-01-27 08:52:57,2024-01-27 09:07:39,8,5,1,15.53,11.3968,683.0,0.7744,4.119,2,0
V0_T0166,0,2024-01-27 09:12:19,2024-01-27 09:19:44,9,5,1,14.8,15.4442,403.0,0.9056,1.961,2,0
V0_T0167,0,2024-01-27 11:54:09,2024-01-27 12:25:43,11,5,1,11.06,11.8668,2850.0,1.5048,6.379,3,0
V0_T0168,0,2024-01-27 12:39:47,2024-01-27 12:42:05,12,5,1,0.0,0.0,968.0,7.0145,0.0,0,0
V0_T0169,0,2024-01-27 13:20:11,2024-01-27 13:48:27,13,5,1,14.48,12.0978,2901.0,1.7105,7.66,4,0
V0_T0170,0,2024-01-29 09:49:21,2024-01-29 10:02:12,9,0,0,10.13,14.5154,806.0,1.0454,1.641,3,0
V0_T0171,0,2024-01-29 10:07:03,2024-01-29 10:07:05,10,0,0,0.0,0.0,292.0,146.0,0.0,0,0
V0_T0172,0,2024-01-29 10:09:27,2024-01-29 10:12:56,10,0,0,4.39,5.6752,204.0,0.9761,0.289,1,0
V0_T0173,0,2024-01-29 10:14:54,2024-01-29 10:16:50,10,0,0,6.48,7.4767,118.0,1.0172,0.201,1,0
V0_T0174,0,2024-01-29 13:48:13,2024-01-29 14:03:40,13,0,0,19.07,15.1814,1879.0,2.027,6.279,3,0
V0_T0175,0,2024-01-29 14:41:49,2024-01-29 14:42:57,14,0,0,0.0,0.0,2351.0,34.5735,0.0,0,0
V0_T0176,0,2024-01-29 14:53:33,2024-01-29 15:10:21,14,0,0,20.28,14.6838,821.0,0.8145,6.26,2,0
V0_T0177,0,2024-01-29 15:14:03,2024-01-29 15:23:59,15,0,0,11.1,14.7614,468.0,0.7852,1.51,2,0
V0_T0178,0,2024-01-29 16:02:17,2024-01-29 16:21:44,16,0,0,20.09,16.2241,2544.0,2.1799,7.42,2,0
V0_T0179,0,2024-01-30 08:16:14,2024-01-30 08:17:13,8,1,0,0.0,0.0,2179.0,36.9322,0.0,0,0
